title,singer,level
シンクロニシティ,乃木坂46,4
世界でいちばん熱い夏,PRINCESS PRINCESS,4
そばにいるね,青山テルマ feat.SoulJa,4
Time goes by,Every Little Thing,4
月のしずく,RUI(柴咲コウ),4
出逢った頃のように,Every Little Thing,4
Hero,安室奈美恵,4
FACE,globe,4
冬のファンタジー,カズン,4
BLUE BIRD,浜崎あゆみ,4
フレンズ,レベッカ,4
炎,LiSA,4
聖母たちのララバイ,岩崎宏美,4
愛唄,GReeeeN,5
愛のかたまり,KinKi Kids,5
襟裳岬,森進一,5
Glass,河村隆一,5
CROSS ROAD,Mr.Children,5
今宵の月のように,エレファントカシマシ,5
3月9日,レミオロメン,5
幸せな結末,大滝詠一,5
SHAKE,SMAP,5
宿命,Official髭男dism,5
純恋歌,湘南乃風,5
しるし,Mr.Children,5
千の風になって,秋川雅史,5
チキンライス,浜田雅功と槇原敬之,5
TSUNAMI,サザンオールスターズ,5
天体観測,BUMP OF CHICKEN,5
Tomorrow never knows,Mr.Children,5
突然,FIELD OF VIEW,5
Dragon Night,SEKAI NO OWARI,5
HANABI,Mr.Children,5
瞳をとじて,平井堅,5
僕が僕であるために,尾崎豊,5
まつり,北島三郎,5
魔法の絨毯,川崎鷹也,5
やっぱ好きやねん,やしきたかじん,5
Lovers Again,EXILE,5
LOVE SONG,CHAGE and ASKA,5
Real Face,KAT-TUN,5
Romanticが止まらない,C-C-B,5
愛燦燦,美空ひばり,5
明日、春が来たら,松たか子,5
あなたがいることで,Uru,5
かたち あるもの,柴咲コウ,5
川の流れのように,美空ひばり,5
ギブス,椎名林檎,5
君はロックを聴かない,あいみょん,5
逆光,Ado,5
Good-bye days,YUI for 雨音薫,5
恋におちて-Fall in love-,小林明子,5
サイレントマジョリティー,欅坂46,5
寒い夜だから…,TRF,5
366日,HY,5
少女A,中森明菜,5
白いカイト,My Little Lover,5
シンデレラ・ハネムーン,岩崎宏美,5
SWEET PAIN,globe,5
世界中の誰よりきっと,中山美穂&WANDS,5
そばかす,JUDY AND MARY,5
DA・KA・RA,大黒摩季,5
DEPARTURES,globe,5
トラブルメイカー,相川七瀬,5
眠れぬ夜は君のせい,MISIA,5
fragile,Every Little Thing,5
古い日記,和田アキ子,5
BREAK OUT!,相川七瀬,5
MajiでKoiする5秒前,広末涼子,5
Make you happy,NiziU,5
やさしさで溢れるように,JUJU,5
雪の華,中島美嘉,5
Last Smile,LOVE PSYCHEDELICO,5
LOVE LOVE LOVE,DREAMS COME TRUE,5
愛されるより 愛したい,KinKi Kids,6
愛はスローにちょっとずつ,サザンオールスターズ,6
いつか,ゆず,6
innocent world,Mr.Children,6
Everything(It’s you),Mr.Children,6
奏,スキマスイッチ,6
希望の轍,サザンオールスターズ,6
Get Wild,TM NETWORK,6
恋,星野源,6
粉雪,レミオロメン,6
サウダージ,ポルノグラフィティ,6
桜,コブクロ,6
シーソーゲーム〜勇敢な恋の歌〜,Mr.Children,6
JAM,THE YELLOW MONKEY,6
12月のLove song,GACKT,6
上・京・物・語,シャ乱Q,6
SAY YES,CHAGE and ASKA,6
Ti Amo,EXILE,6
永遠にともに,コブクロ,6
HIGH PRESSURE,T.M.Revolution,6
花束,back number,6
万里の河,CHAGE and ASKA,6
瞳そらさないで,DEEN,6
まちがいさがし,菅田将暉,6
もっと強く抱きしめたなら,WANDS,6
You’re the Only…,小野正利,6
愛を知るまでは,あいみょん,6
熱くなれ,大黒摩季,6
あなただけ見つめてる,大黒摩季,6
ALICE,My Little Lover,6
ORION,中島美嘉,6
風が吹いている,いきものがかり,6
カムフラージュ,竹内まりや,6
君って,西野カナ,6
CAN YOU CELEBRATE?,安室奈美恵,6
SAKURA,いきものがかり,6
Jupiter,平原綾香,6
空と君のあいだに,中島みゆき,6
Darling,西野カナ,6
Chase the Chance,安室奈美恵,6
Dear My Friend,Every Little Thing,6
Dearest,浜崎あゆみ,6
Don’t wanna cry,安室奈美恵,6
夏が来る,大黒摩季,6
POWER,ポケットビスケッツ,6
ヒカリヘ,miwa,6
ひこうき雲,荒井由実,6
ブルーバード,いきものがかり,6
プロローグ,Uru,6
ボーイフレンド,aiko,6
魅せられて,ジュディ・オング,6
MUGO・ん…色っぽい,工藤静香,6
もらい泣き,一青窈,6
夢見る少女じゃいられない,相川七瀬,6
夜桜お七,坂本冬美,6
ら・ら・ら,大黒摩季,6
恋愛レボリューション21,モーニング娘。,6
青いベンチ,サスケ,7
アポロ,ポルノグラフィティ,7
言えないよ,郷ひろみ,7
馬と鹿,米津玄師,7
このまま君だけを奪い去りたい,DEEN,7
巡恋歌,長渕剛,7
SMILE 〜晴れ渡る空のように〜,桑田佳祐,7
前前前世,RADWIMPS,7
truth,嵐,7
夏色,ゆず,7
名もなき詩,Mr.Children,7
Forever Love,X JAPAN,7
女々しくて,ゴールデンボンバー,7
U.S.A.,DA PUMP,7
レイニーブルー,德永英明,7
Lemon,米津玄師,7
I WISH,モーニング娘。,7
愛をこめて花束を,Superfly,7
アンコール,YOASOBI,7
YELLOW YELLOW HAPPY,ポケットビスケッツ,7
打上花火,DAOKO×米津玄師,7
生まれてはじめて,神田沙也加、松たか子,7
うれしい!たのしい!大好き!,DREAMS COME TRUE,7
Everything,MISIA,7
evolution,浜崎あゆみ,7
M,PRINCESS PRINCESS,7
Over Drive,JUDY AND MARY,7
奇蹟,Uru,7
奇跡を望むなら…,JUJU,7
くじら12号,JUDY AND MARY,7
月光,鬼束ちひろ,7
恋心,相川七瀬,7
桜の時,aiko,7
Swallowtail Butterfly〜あいのうた〜,YEN TOWN BAND,7
世界はあなたに笑いかけている,Little Glee Monster,7
創聖のアクエリオン,AKINO from bless4,7
抱いて HOLD ON ME!,モーニング娘。,7
チョット,大黒摩季,7
裸の心,あいみょん,7
花火,aiko,7
ヒーロー,麻倉未稀,7
Best Friend,Kiroro,7
Body & Soul,SPEED,7
White Love,SPEED,7
みずいろの雨,八神純子,7
未来予想図Ⅱ,DREAMS COME TRUE,7
みんな空の下,絢香,7
レット・イット・ゴー〜ありのままで〜,松たか子,7
ワダツミの木,元ちとせ,7
あー夏休み,TUBE,8
愛のメモリー,松崎しげる,8
君は薔薇より美しい,布施明,8
きらり,藤井風,8
今夜月の見える丘に,B’z,8
1/3の純情な感情,SIAM SHADE,8
青春アミーゴ,修二と彰,8
大都会,クリスタルキング,8
蕾,コブクロ,8
ドライフラワー,優里,8
HONEY,L'Arc〜en〜Ciel,8
115万キロのフィルム,Official髭男dism,8
Pretender,Official髭男dism,8
ミュージック・アワー,ポルノグラフィティ,8
未来,コブクロ,8
もう恋なんてしない,槇原敬之,8
私以外私じゃないの,ゲスの極み乙女。,8
ワタリドリ,[Alexandros],8
愛情,小柳ゆき,8
アイノカタチ,MISIA,8
I’m proud,華原朋美,8
明日も,SHISHAMO,8
あなたのキスを数えましょう〜You were mine〜,小柳ゆき,8
A Perfect Sky,BONNIE PINK,8
天城越え,石川さゆり,8
アルデバラン,AI,8
inside you,milet,8
We Are Never Ever Getting Back Together,Taylor Swift,8
M,浜崎あゆみ,8
大阪LOVER,DREAMS COME TRUE,8
Automatic,宇多田ヒカル,8
気まぐれロマンティック,いきものがかり,8
幸福論,椎名林檎,8
残響散歌,Aimer,8
千本桜,和楽器バンド,8
それを愛と呼ぶなら,Uru,8
Timing〜タイミング〜,BLACK BISCUITS,8
1/2,川本真琴,8
フライングゲット,AKB48,8
フレア,Superfly,8
プレイバック Part 2,山口百恵,8
Hate tell a lie,華原朋美,8
メリクリ,BoA,8
もう少しだけ,YOASOBI,8
流星群,鬼束ちひろ,8
愛をとりもどせ!!,クリスタルキング,9
アゲハ蝶,ポルノグラフィティ,9
イエスタデイ,Official髭男dism,9
廻廻奇譚,Eve,9
風になって,[Alexandros],9
キセキ,GReeeeN,9
クリスマスソング,back number,9
恋音と雨空,AAA,9
白い恋人達,桑田佳祐,9
高嶺の花子さん,back number,9
ねがい,B’z,9
ノーダウト,Official髭男dism,9
ノンフィクション,平井堅,9
HOWEVER,GLAY,9
WHITE BREATH,T.M.Revolution,9
誘惑,GLAY,9
Rusty Nail,X JAPAN,9
会いたくて 会いたくて,西野カナ,9
逢いたくていま,MISIA,9
愛を伝えたいだとか,あいみょん,9
明け星,LiSA,9
あの夢をなぞって,YOASOBI,9
カブトムシ,aiko,9
ここでキスして。,椎名林檎,9
今夜このまま,あいみょん,9
サクラ色,アンジェラ・アキ,9
STEADY,SPEED,9
Time To Say Goodbye,サラ・ブライトマン,9
罪と罰,椎名林檎,9
traveling,宇多田ヒカル,9
何度でも,DREAMS COME TRUE,9
人魚,NOKKO,9
ハルジオン,YOASOBI,9
光,宇多田ヒカル,9
Beautiful,Superfly,9
First Love,宇多田ヒカル,9
promise,広瀬香美,9
プロミスザスター,BiSH,9
my graduation,SPEED,9
Mela!,緑黄色社会,9
やさしいキスをして,DREAMS COME TRUE,9
Love Story,安室奈美恵,9
忘れない日々,MISIA,9
I LOVE…,Official髭男dism,10
Winter，again,GLAY,10
winter fall,L'Arc〜en〜Ciel,10
ultra soul,B’z,10
Cry Baby,Official髭男dism,10
紅,X JAPAN,10
ともに,WANIMA,10
白日,King Gnu,10
ひとり,ゴスペラーズ,10
HOT LIMIT,T.M.Revolution,10
ROSIER,LUNA SEA,10
I Will Always Love You,Whitney Houston,10
朝がまた来る,DREAMS COME TRUE,10
命に嫌われている。,初音ミク,10
Wait & See ～リスク～,宇多田ヒカル,10
うっせぇわ,Ado,10
Ordinary days,milet,10
Can You Keep A Secret?,宇多田ヒカル,10
紅蓮華,LiSA,10
群青,YOASOBI,10
決戦は金曜日,DREAMS COME TRUE,10
ゲレンデがとけるほど恋したい,広瀬香美,10
三原色,YOASOBI,10
タマシイレボリューション,Superfly,10
果てなく続くストーリー,MISIA,10
花束を君に,宇多田ヒカル,10
ビリーヴ,シェネル,10
FACES PLACES,globe,10
Prisoner Of Love,宇多田ヒカル,10
本能,椎名林檎,10
夜に駆ける,YOASOBI,10
